City,lat,lng,Administration,Status,Population
Marnardal,58.2428,7.4969,Vest Agder,minor,2290
Brekstad,63.687,9.6654,Sor Trondelag,minor,2230
Lom,61.8108,8.6392,Oppland,minor,2228
Batsfjord,70.4833,29.9333,Finnmark,minor,2221
Laerdalsoyri,61.0511,7.5978,Sogn og Fjordane,minor,2126
Vegarshei,58.7756,8.8322,Aust Agder,minor,2097
Midsund,62.7086,6.7967,More og Romsdal,minor,2088
Bronnoysund,65.4749,12.212,Nordland,minor,2064
Snasa,64.2461,12.383,Nord Trondelag,minor,2063
Lodingen,68.4042,15.5714,Nordland,minor,2034
Rindal,63.0422,9.2894,More og Romsdal,minor,2003
Lesja,62.2106,8.6447,Oppland,minor,1975
Luroy,66.4319,12.855,Nordland,minor,1923
Fagernes,60.985,9.2306,Oppland,minor,1921
Os,62.4761,11.2431,Hedmark,minor,1891
Vardo,70.3705,31.1095,Finnmark,minor,1846
Nesna,66.2578,13.035,Nordland,minor,1761
Otta,61.7706,9.5414,Oppland,minor,1737
Kolvereid,64.8653,11.6044,Nord Trondelag,minor,1709
Masfjordnes,60.8383,5.4486,Hordaland,minor,1691
Namdalseid,64.2892,11.1764,Nord Trondelag,minor,1622
Vang,61.2144,8.5042,Oppland,minor,1578
Tolga,62.4014,11.0222,Hedmark,minor,1562
Folldal,62.1992,10.0353,Hedmark,minor,1545
Rollag,59.9839,9.2953,Buskerud,minor,1390
Iveland,58.4411,7.9558,Aust Agder,minor,1331
Hyllestad,61.1633,5.3389,Sogn og Fjordane,minor,1328
Hattfjelldal,65.5475,14.1344,Nordland,minor,1297
Balestrand,61.1775,6.4039,Sogn og Fjordane,minor,1294
Fyresdal,59.1658,8.0197,Telemark,minor,1287
Bruflat,60.9672,9.6536,Oppland,minor,1279
Engerdal,61.8833,12.0333,Hedmark,minor,1268
Forsand,58.9094,6.2011,Rogaland,minor,1238
Hoylandet,64.7242,12.3339,Nord Trondelag,minor,1231
Hornindal,61.9986,6.5842,More og Romsdal,minor,1200
Valle,59.1642,7.4725,Aust Agder,minor,1164
Bygland,58.8244,7.8019,Aust Agder,minor,1162
Jondal,60.2683,6.3292,Hordaland,minor,1104
Ulvik,60.6211,7.0803,Hordaland,minor,1080
Fla,60.4086,9.4842,Buskerud,minor,1050
Kvalsund,70.499,23.9739,Finnmark,minor,1035
Stordal,62.39,7.1106,More og Romsdal,minor,1020
Roa,60.2881,10.6,Oppland,minor,967
Bykle,59.4431,7.255,Aust Agder,minor,965
Roan,64.1503,10.3025,Sor Trondelag,minor,961
Berlevag,70.857,29.093,Finnmark,minor,957
Aseral,58.7019,7.3936,Vest Agder,minor,932
Granvin,60.5269,6.7194,Hordaland,minor,920
Eidfjord,60.4966,7.1411,Hordaland,minor,906
Bokn,59.2003,5.4231,Rogaland,minor,852
Namsskogan,64.8719,12.9764,Nord Trondelag,minor,843
Kviteseid,59.4042,8.4911,Telemark,minor,790
Tydal,63.0183,11.815,Sor Trondelag,minor,769
Amli,58.7657,8.4839,Aust Agder,minor,690
Romskog,59.7144,11.8086,Ostfold,minor,673
Bagn,60.8167,9.5667,Oppland,minor,654
Leka,65.0833,11.6336,Nord Trondelag,minor,557
Fedje,60.7689,4.7306,Sogn og Fjordane,minor,548
Kvitsoy,59.0622,5.4117,Rogaland,minor,517
Rost,67.52,12.0989,Nordland,minor,498
Vevelstad,65.6683,12.5186,Nordland,minor,462
Royrvik,64.8838,13.5631,Nord Trondelag,minor,461
Traena,66.5075,12.0308,Nordland,minor,435
Burfjord,69.9378,22.0519,Troms,minor,384
Gjerstad,58.8809,9.0175,Aust Agder,minor,264
Utsira,59.3072,4.8861,Rogaland,minor,198
